id,name,country,join_date,rating
1,Norma Fisher,Seychelles,2025-03-11,4.8
2,Jorge Sullivan,Azerbaijan,2023-10-28,4.6
3,Elizabeth Woods,Solomon Islands,2025-06-18,4.1
4,Susan Wagner,Philippines,2024-02-15,3.9
5,Peter Montgomery,Cayman Islands,2025-02-08,4.3
6,Theodore Mcgrath,Tanzania,2025-04-17,4.1
7,Stephanie Collins,Central African Republic,2025-03-28,4.7
8,Stephanie Sutton,Guam,2023-02-28,4.0
9,Brian Hamilton,Malta,2023-12-02,4.2
10,Susan Levy,El Salvador,2024-03-31,4.4
11,Sean Green,British Indian Ocean Territory (Chagos Archipelago),2024-05-11,4.9
12,Kimberly Smith,Nauru,2025-05-14,4.3
13,Jennifer Summers,Uruguay,2022-12-10,3.9
14,April Snyder,Kenya,2022-08-09,4.6
15,Dana Nguyen,Papua New Guinea,2025-02-15,4.4
16,Cheryl Bradley,China,2023-06-01,3.9
17,Walter Pratt,American Samoa,2025-07-27,4.9
18,Bobby Flores,Latvia,2024-01-08,5.0
19,Tasha Rodriguez,Pitcairn Islands,2023-04-12,4.7
20,Michelle Kelley,Ireland,2023-08-13,4.9
21,Kimberly Maynard,United Arab Emirates,2023-07-19,4.0
22,Laurie Wallace,Mongolia,2025-04-23,4.6
23,Janice Johnston,Tunisia,2024-07-03,4.8
24,Collin Lopez,Madagascar,2024-03-17,4.5
25,Mary Alvarez,United States Virgin Islands,2025-06-18,4.2
26,Peter Mcdowell,Georgia,2025-01-05,3.7
27,Sarah Villanueva,Pakistan,2024-05-11,4.2
28,Kimberly Myers,Guinea-Bissau,2022-09-25,4.4
29,Desiree Cain,Iceland,2024-04-22,4.9
30,Stephanie Lawrence,Taiwan,2025-08-01,4.9
31,Lauren Hayes,Palestinian Territory,2025-01-04,4.2
32,Whitney Stark,El Salvador,2024-05-17,4.8
33,Angela Salazar,Cape Verde,2025-05-31,3.9
34,Mr. Ryan Sanchez,Moldova,2022-10-18,4.7
35,Autumn Robinson,Portugal,2023-04-21,4.3
36,Faith Cabrera,American Samoa,2024-06-28,3.5
37,Charles Wolfe,Kuwait,2022-11-14,4.6
38,Kenneth Kent,Saint Vincent and the Grenadines,2023-09-13,4.1
39,Melanie Johnson,Belgium,2025-07-31,4.7
40,Lisa Johnston,Grenada,2023-04-08,4.5
41,Jacob Hooper,Saint Vincent and the Grenadines,2024-06-30,3.5
42,Alex Woodward,Aruba,2024-11-03,4.2
43,Caleb Clark,Mauritius,2024-09-01,4.8
44,Taylor Johnson,Fiji,2024-12-26,3.9
45,Brian Green,Burkina Faso,2025-03-02,4.0
46,Matthew Bell,Dominican Republic,2022-08-07,4.8
47,Jonathan Williams,Serbia,2022-10-06,3.8
48,William Gonzalez,Zimbabwe,2024-09-13,4.4
49,Nicholas Massey,Liberia,2023-12-26,3.9
50,Caroline Chambers,Guinea,2023-12-04,5.0
